reviewId,content,score
5546a206-60b5-4854-92cd-c611e761ae03,so good 👍,5
dccc9bee-79e3-4c3f-877c-862270a4aa8d,nice ☺️,5
9d0b8e62-4d7d-49f7-a33a-c3f49c7e04ee,Eve CD sqwwxwxwxqwwww de w2w,4
3f81d8f0-2de1-41c4-8cea-e1513ffc7d41,Kashyap ji,5
f0f2f642-f874-423e-92ab-46774759bf6a,very nice,5
7028e390-d1e4-4636-97c9-01a0334b180e,follow me 😊,4
1f610c92-8ed5-47a4-8d91-bf804c643eb5,the best way to communicate with friends all over the places,5
95112be6-a548-4d85-bbd2-682513d38f81,very good 👍,3
89d6559e-c131-408f-ad51-bc1d69bcdf28,this is awesome yes,5
b0d125fb-b267-4518-abf2-abe96539056a,very fantastic apps thanks for owners 🤩💞,5
62bb80e6-778a-4e45-8def-0b88186930cc,nice,5
a0e30740-ddd3-4ce5-b864-737629684123,Good,3
a52e58ac-6d55-402f-b350-ec8e323d44ef,Its good,1
17ebb807-0d4c-4bd3-96fc-7b354dda4597,Nice,5
2a6bd62d-f5f9-43d6-b8b6-6b48f7974678,I can't open my Facebook account even I uninstall already and I installed again,1
d97c3c20-e6a7-49a5-af7e-7a31290c7815,Opkiller,5
a6855450-f706-4100-91ed-5c4787b7c905,Oiiuiyty6 ji,5
bacb465f-a7ed-4ac8-b988-7c29d88b9e6b,excellent,5
c6e3b236-2c65-4dec-be98-27fb50f0525b,Hello friends,4
34b204e6-766f-4ec9-8c05-838fafec46fd,"pull k, ,, a r,",4
228ffe89-df50-494b-92a0-11d1b1fc0458,Very usefull ⭐⭐⭐⭐⭐,5
64a11daa-cd2d-4b57-ad96-c50dafafdb89,Ee at,1
55a91d55-b439-4473-8795-bb5fd532653f,"This app is a spectacular ☝️ app that takes away all your worries through videos, memes etc...The most interesting part about this app is that you can use it when you don't have data as well ( the free mode).",5
c35e0316-5440-498e-902a-ed1ffd2574ce,Nice performance..,5
6363cfd8-d049-4676-93b4-727e9cf23957,Im coming ♤,5
0a177204-bc8a-490f-86b3-cff87a2d630e,Good,5
4174af9d-b67e-47ed-af4b-384784ce01e5,good,5
f32a08f9-42e4-4fd2-bc3f-05f9fd04f8ab,شاهد,5
b53e1e8c-9497-452b-a35e-27c46231443c,They need to stop fact checking and censoring post.,1
c69ac58f-3006-498e-9786-5cd3b7c97e45,good app,5
2ae5bbb9-0d3c-470f-99d5-426083d39e9d,tubolbol,5
b2ed29e3-fc94-4a21-b381-d18117da23c9,It's good for me 🌷💝,5
19f8886c-fcdd-47f9-a493-b6bf430d47a7,Subham,5
7a0f00c6-4d77-434f-9b74-b6082ae094a1,Open an look,5
2ca0b935-84d2-43a2-a0c3-f3e2879437c3,Facebook . messenger would be great if they stopped advertising,5
b64baaf9-2a6f-4007-a604-79d07d884ea2,amazing sosmed,5
2f19359a-940b-46b2-90bf-5e8670a29614,good,5
f6fb9989-25c0-4c06-aeeb-7025ee07bbd8,its very very good app,3
9ac1f573-8999-42be-a1a3-9d59af464424,Good,5
9dad3843-401a-4b6e-8215-085a816b9b7e,HjÀpq ll l yu lo,4
c9fe54de-50e9-4706-8742-1eb2ec4f37d4,love driving around the island. it's a happy place. We walked around it almost everyday last year depending on the weather. its'a beautiful free pristine place to enjoy ❣️❣️❣️,5
bddfb9e8-1ff5-4220-ba87-8c8df8c58341,Thanks All.,5
d65ad693-92a9-45a0-a862-80eaaee53f15,Terrible. Stupid computers that run Facebook suspended my profile for a false violation of advertising rules. I have never advertised anything. It thinks I'm a business or something stupid. Shows how out of touch meta is. It's run by robots,1
67d7995a-c13f-4422-8884-a10112c649ed,excellent,5
dbfb2897-d2b1-4ffd-b304-14204fb45ad2,আর এ সা স্বরE,4
86efa282-146e-4807-8ed5-e5d66ca64cd1,Must i...,4
